Benchmark,Input Size,Time (ms)
run_bubble_sort,1000,5.644179
run_bubble_sort,5000,27.906595
run_bubble_sort,10000,114.152644
run_bubble_sort,50000,5632.069216
run_fibonacci,30,8.199221
run_fibonacci,32,21.552297
run_fibonacci,34,55.732643
run_fibonacci,36,148.608242
run_fibonacci,38,389.893860
run_fibonacci,40,951.385281
run_hanoi,10,0.135154
run_hanoi,15,0.384469
run_hanoi,20,8.325989
run_hanoi,22,32.237893
run_hanoi,24,137.694479
run_hanoi,25,281.290285
run_matrix_multiplication,100,7.230259
run_matrix_multiplication,200,16.688276
run_matrix_multiplication,300,59.742065
run_matrix_multiplication,400,145.055231
run_matrix_multiplication,500,298.102117
run_qsort,1000,0.959236
run_qsort,5000,1.587933
run_qsort,10000,3.616432
run_qsort,50000,18.936467
run_qsort,100000,46.647780
run_prime_sieve,100000,1.023874
run_prime_sieve,500000,2.504400
run_prime_sieve,1000000,5.215022
run_prime_sieve,5000000,28.788108
