Benchmark,Input Size,Native Time (ms),WebAssembly Time (ms)
bubble_sort_benchmark,1000,1.887528,N/A
bubble_sort_benchmark,5000,36.711792,N/A
bubble_sort_benchmark,10000,138.301994,N/A
bubble_sort_benchmark,50000,5088.863823,N/A
fibonacci_benchmark,30,1.532270,N/A
fibonacci_benchmark,32,4.427378,N/A
fibonacci_benchmark,34,10.733565,N/A
fibonacci_benchmark,36,25.320097,N/A
fibonacci_benchmark,38,60.414519,N/A
fibonacci_benchmark,40,143.977077,N/A
hanoi_benchmark,10,0.002350,N/A
hanoi_benchmark,15,0.007271,N/A
hanoi_benchmark,20,0.139795,N/A
hanoi_benchmark,22,4.375371,N/A
hanoi_benchmark,24,2.423989,N/A
hanoi_benchmark,25,4.386628,N/A
matrix_benchmark,100,0.749342,N/A
matrix_benchmark,200,7.018361,N/A
matrix_benchmark,300,20.931569,N/A
matrix_benchmark,400,46.778886,N/A
matrix_benchmark,500,88.578535,N/A
qsort_benchmark,1000,0.042738,N/A
qsort_benchmark,5000,0.401363,N/A
qsort_benchmark,10000,0.693356,N/A
qsort_benchmark,50000,4.696465,N/A
qsort_benchmark,100000,9.686681,N/A
prime_sieve_benchmark,100000,0.135553,N/A
prime_sieve_benchmark,500000,0.791557,N/A
prime_sieve_benchmark,1000000,1.674548,N/A
prime_sieve_benchmark,5000000,10.136792,N/A
